Produto,Preço,Pgto.,Nº Parcelas,Data,Cliente,E-mail,DDD,Telefone
Produto C,R$ 500,Cartão de Crédito,6,20/06/2018,Presley Almeida,presleyalmeida@hotmail.com,24,935370677
Produto B,R$ 1000,Boleto Bancário,2,01/08/2018,Danubia Oliveira,danubiaoliveira@yahoo.com,53,983636447
Produto A,R$ 500,Boleto Bancário,8,15/05/2018,Mariana Santos,marianasantos@gmail.com,48,925282982
Produto C,R$ 500,Pix,3,26/03/2018,Tércio Costa,térciocosta@hotmail.com,88,910713114
Produto B,R$ 1200,Cartão de Crédito,2,15/06/2018,Mariana Almeida,marianaalmeida@outlook.com,27,986037349
Produto A,R$ 750,Cartão de Crédito,3,07/08/2018,Tércio Silva,térciosilva@gmail.com,85,962712504
Produto A,R$ 1200,Boleto Bancário,5,28/11/2018,Tamires Costa,tamirescosta@gmail.com,71,981767519
Produto A,R$ 750,Boleto Bancário,12,20/04/2018,Lucas Souza,lucassouza@outlook.com,13,965496383
Produto B,R$ 1200,Cartão de Crédito,3,15/04/2018,Tonny Almeida,tonnyalmeida@outlook.com,31,999736606
Produto B,R$ 500,Cartão de Crédito,1,01/05/2018,Jhonn Santos,jhonnsantos@hotmail.com,90,985493702
Produto B,R$ 1200,Pix,10,03/03/2018,Danubia Costa,danubiacosta@gmail.com,95,940164581
Produto B,R$ 750,Pix,8,25/02/2018,Rafael Costa,rafaelcosta@gmail.com,39,907007676
Produto C,R$ 1200,Cartão de Crédito,6,19/12/2018,Tonny Silva,tonnysilva@gmail.com,71,921926726
Produto B,R$ 1000,Pix,9,22/01/2018,Jonatas Pereira,jonataspereira@outlook.com,87,976571516
Produto A,R$ 1000,Boleto Bancário,5,21/04/2018,Jonatas Souza,jonatassouza@outlook.com,71,961917641
Produto C,R$ 1200,Pix,6,09/11/2018,Pedro Souza,pedrosouza@hotmail.com,77,915422144
Produto A,R$ 500,Cartão de Crédito,6,06/03/2018,Tamires Almeida,tamiresalmeida@yahoo.com,96,914092941
Produto B,R$ 1200,Boleto Bancário,5,09/12/2018,Tércio Martins,térciomartins@hotmail.com,13,963658359
Produto B,R$ 1000,Pix,4,24/11/2018,Jonatas Costa,jonatascosta@hotmail.com,26,929779569
Produto B,R$ 1200,Boleto Bancário,11,10/11/2018,Rafael Costa,rafaelcosta@gmail.com,98,922139979
Produto C,R$ 500,Pix,12,26/02/2018,Lucas Santos,lucassantos@outlook.com,35,933752133
Produto C,R$ 750,Cartão de Crédito,8,07/11/2018,Jonatas Pereira,jonataspereira@outlook.com,56,944547745
Produto B,R$ 750,Pix,10,04/04/2018,Paula Santos,paulasantos@yahoo.com,50,930096874
Produto A,R$ 500,Cartão de Crédito,9,24/10/2018,Tonny Souza,tonnysouza@gmail.com,17,966693215
Produto B,R$ 500,Pix,3,20/05/2018,Paula Pereira,paulapereira@hotmail.com,12,911370674
Produto C,R$ 750,Pix,3,01/12/2018,Bianca Oliveira,biancaoliveira@yahoo.com,66,997859003
Produto A,R$ 750,Boleto Bancário,4,17/11/2018,Alefy Santos,alefysantos@outlook.com,33,994144207
Produto C,R$ 1000,Cartão de Crédito,1,11/11/2018,Jhonn Oliveira,jhonnoliveira@yahoo.com,28,927509873
Produto C,R$ 1200,Pix,7,20/04/2018,Tércio Pereira,térciopereira@hotmail.com,33,973923490
Produto B,R$ 1200,Cartão de Crédito,1,03/04/2018,Samuel Oliveira,samueloliveira@gmail.com,29,976236382
Produto B,R$ 750,Pix,11,15/11/2018,Mariana Almeida,marianaalmeida@yahoo.com,37,944864085
Produto B,R$ 500,Pix,9,12/08/2018,Paula Souza,paulasouza@gmail.com,91,917183782
Produto C,R$ 750,Cartão de Crédito,12,23/03/2018,Mariana Almeida,marianaalmeida@gmail.com,11,960187398
Produto B,R$ 500,Cartão de Crédito,9,26/09/2018,Samuel Almeida,samuelalmeida@hotmail.com,93,986665002
Produto B,R$ 500,Pix,7,05/02/2018,Tércio Santos,térciosantos@gmail.com,98,917794043
Produto C,R$ 500,Boleto Bancário,4,29/03/2018,Tonny Pereira,tonnypereira@yahoo.com,53,923238960
Produto C,R$ 1200,Boleto Bancário,9,18/09/2018,Presley Santos,presleysantos@outlook.com,93,951303256
Produto C,R$ 1000,Boleto Bancário,10,05/05/2018,Danubia Almeida,danubiaalmeida@outlook.com,20,946616689
Produto C,R$ 500,Pix,4,23/07/2018,Alefy Souza,alefysouza@hotmail.com,75,904969071
Produto A,R$ 1200,Boleto Bancário,1,17/11/2018,Jhonn Almeida,jhonnalmeida@hotmail.com,35,947270741
Produto C,R$ 750,Cartão de Crédito,2,03/07/2018,Bianca Pereira,biancapereira@yahoo.com,75,955322987
Produto C,R$ 1000,Cartão de Crédito,10,29/08/2018,Danubia Pereira,danubiapereira@yahoo.com,99,984955540
Produto A,R$ 1200,Pix,12,25/11/2018,Presley Pereira,presleypereira@gmail.com,67,901623712
Produto C,R$ 500,Cartão de Crédito,2,25/02/2018,Alefy Pereira,alefypereira@hotmail.com,68,900757398
Produto C,R$ 1000,Cartão de Crédito,7,11/03/2018,Samuel Costa,samuelcosta@outlook.com,20,976976689
Produto A,R$ 750,Pix,9,31/08/2018,Mariana Pereira,marianapereira@outlook.com,62,969308582
Produto A,R$ 750,Boleto Bancário,12,17/08/2018,Rafael Costa,rafaelcosta@hotmail.com,52,940881770
Produto B,R$ 500,Pix,11,08/08/2018,Danubia Souza,danubiasouza@gmail.com,54,939860989
Produto B,R$ 1200,Boleto Bancário,12,01/12/2018,Tonny Souza,tonnysouza@yahoo.com,23,934532121
Produto C,R$ 1200,Cartão de Crédito,10,28/03/2018,Pedro Souza,pedrosouza@hotmail.com,22,975349946
Produto C,R$ 750,Cartão de Crédito,7,11/01/2018,Elaine Oliveira,elaineoliveira@gmail.com,63,960232540
Produto C,R$ 500,Cartão de Crédito,11,14/09/2018,Pedro Martins,pedromartins@outlook.com,35,904738340
Produto C,R$ 750,Pix,7,28/09/2018,Paula Martins,paulamartins@outlook.com,84,906815515
Produto B,R$ 500,Boleto Bancário,9,04/11/2018,Tamires Santos,tamiressantos@outlook.com,98,994032515
Produto B,R$ 1200,Boleto Bancário,6,27/01/2018,Alefy Martins,alefymartins@outlook.com,53,970528747
Produto A,R$ 1000,Cartão de Crédito,5,03/11/2018,Rafael Silva,rafaelsilva@yahoo.com,42,946791111
Produto B,R$ 750,Cartão de Crédito,10,14/04/2018,Paula Pereira,paulapereira@yahoo.com,47,967048797
Produto B,R$ 1000,Boleto Bancário,4,09/03/2018,Pedro Martins,pedromartins@gmail.com,15,902903859
Produto C,R$ 500,Cartão de Crédito,10,03/01/2018,Bianca Souza,biancasouza@outlook.com,51,925537666
Produto A,R$ 500,Boleto Bancário,9,12/05/2018,Jhonn Santos,jhonnsantos@yahoo.com,57,962283323
Produto C,R$ 1200,Boleto Bancário,10,15/01/2018,Danubia Souza,danubiasouza@hotmail.com,75,964983156
Produto A,R$ 750,Pix,8,20/12/2018,Bianca Silva,biancasilva@yahoo.com,40,906845627
Produto C,R$ 1000,Boleto Bancário,3,14/07/2018,Elaine Oliveira,elaineoliveira@outlook.com,62,903593262
Produto C,R$ 500,Cartão de Crédito,1,25/11/2018,Elaine Pereira,elainepereira@hotmail.com,65,999296817
Produto C,R$ 500,Pix,2,15/12/2018,Lucas Costa,lucascosta@outlook.com,79,934801271
Produto A,R$ 750,Boleto Bancário,2,22/04/2018,Rafael Pereira,rafaelpereira@gmail.com,52,960858434
Produto A,R$ 500,Boleto Bancário,1,28/02/2018,Rafael Martins,rafaelmartins@gmail.com,76,949616587
Produto C,R$ 500,Pix,2,01/01/2019,Tonny Costa,tonnycosta@gmail.com,11,933562545
Produto C,R$ 500,Boleto Bancário,12,17/12/2018,Pedro Silva,pedrosilva@hotmail.com,50,905380171
Produto A,R$ 1200,Cartão de Crédito,4,23/05/2018,Elaine Souza,elainesouza@hotmail.com,14,920687661
Produto C,R$ 1200,Cartão de Crédito,5,04/02/2018,Elaine Pereira,elainepereira@outlook.com,40,924200023
Produto B,R$ 1200,Pix,7,30/04/2018,Presley Pereira,presleypereira@gmail.com,74,935192043
Produto A,R$ 1000,Cartão de Crédito,5,04/06/2018,Tércio Almeida,tércioalmeida@hotmail.com,74,945050940
Produto C,R$ 500,Cartão de Crédito,4,30/11/2018,Tamires Costa,tamirescosta@outlook.com,75,934020937
Produto B,R$ 500,Cartão de Crédito,10,15/12/2018,Mariana Pereira,marianapereira@yahoo.com,38,920544301
Produto C,R$ 500,Cartão de Crédito,10,10/11/2018,Pedro Pereira,pedropereira@outlook.com,61,983864967
Produto B,R$ 1200,Cartão de Crédito,4,08/05/2018,Pedro Pereira,pedropereira@outlook.com,17,921013108
Produto A,R$ 1000,Pix,8,06/01/2018,Jhonn Almeida,jhonnalmeida@gmail.com,91,971065840
Produto B,R$ 500,Cartão de Crédito,6,08/07/2018,Elaine Oliveira,elaineoliveira@outlook.com,29,978684593
Produto C,R$ 1000,Pix,5,14/05/2018,Pedro Souza,pedrosouza@hotmail.com,13,912338625
Produto C,R$ 1200,Pix,1,01/03/2018,Rafael Oliveira,rafaeloliveira@yahoo.com,42,994780619
Produto C,R$ 1200,Boleto Bancário,2,22/08/2018,Tonny Santos,tonnysantos@outlook.com,55,912476125
Produto A,R$ 500,Cartão de Crédito,1,20/04/2018,Tonny Silva,tonnysilva@hotmail.com,85,980160480
Produto C,R$ 500,Cartão de Crédito,11,08/04/2018,Mariana Martins,marianamartins@gmail.com,51,984953499
Produto B,R$ 1200,Cartão de Crédito,4,16/03/2018,Tamires Martins,tamiresmartins@gmail.com,56,978956265
Produto A,R$ 500,Pix,4,05/04/2018,Mariana Almeida,marianaalmeida@gmail.com,81,913933856
Produto B,R$ 500,Boleto Bancário,3,03/07/2018,Samuel Costa,samuelcosta@outlook.com,29,904620348
Produto C,R$ 500,Cartão de Crédito,2,29/07/2018,Bianca Pereira,biancapereira@outlook.com,47,928303812
Produto A,R$ 1200,Pix,2,06/12/2018,Danubia Silva,danubiasilva@hotmail.com,73,906729077
Produto B,R$ 1000,Pix,9,26/11/2018,Tércio Almeida,tércioalmeida@outlook.com,36,944892948
Produto A,R$ 1000,Pix,3,23/07/2018,Pedro Souza,pedrosouza@yahoo.com,37,916854220
Produto C,R$ 750,Boleto Bancário,7,14/07/2018,Elaine Santos,elainesantos@gmail.com,34,971084242
Produto A,R$ 750,Cartão de Crédito,5,26/07/2018,Pedro Almeida,pedroalmeida@outlook.com,59,984072134
Produto C,R$ 1000,Boleto Bancário,12,29/03/2018,Alefy Oliveira,alefyoliveira@outlook.com,46,907500913
Produto B,R$ 750,Cartão de Crédito,11,19/10/2018,Tamires Santos,tamiressantos@yahoo.com,86,905295287
Produto A,R$ 1200,Boleto Bancário,10,28/05/2018,Presley Pereira,presleypereira@outlook.com,40,923779956
Produto A,R$ 1000,Cartão de Crédito,5,27/05/2018,Danubia Souza,danubiasouza@hotmail.com,41,918261975
Produto A,R$ 500,Boleto Bancário,11,24/09/2018,Jhonn Silva,jhonnsilva@gmail.com,51,939304320
Produto A,R$ 500,Pix,7,15/01/2018,Elaine Martins,elainemartins@gmail.com,34,921038249
Produto B,R$ 1000,Pix,6,09/08/2018,Mariana Santos,marianasantos@outlook.com,56,926729761
Produto C,R$ 500,Boleto Bancário,2,16/08/2018,Paula Silva,paulasilva@hotmail.com,82,933717050
Produto A,R$ 1200,Pix,5,20/03/2018,Jonatas Almeida,jonatasalmeida@outlook.com,31,984414874
Produto C,R$ 500,Pix,1,12/10/2018,Presley Silva,presleysilva@yahoo.com,37,978704365
Produto C,R$ 750,Cartão de Crédito,4,11/11/2018,Lucas Oliveira,lucasoliveira@outlook.com,66,944248616
Produto C,R$ 1000,Cartão de Crédito,7,06/09/2018,Paula Silva,paulasilva@hotmail.com,13,980189111
Produto C,R$ 1000,Cartão de Crédito,3,06/12/2018,Rafael Silva,rafaelsilva@outlook.com,98,951263124
Produto A,R$ 750,Cartão de Crédito,9,02/02/2018,Paula Martins,paulamartins@yahoo.com,85,907828752
Produto B,R$ 1200,Cartão de Crédito,7,03/03/2018,Bianca Pereira,biancapereira@gmail.com,19,994631124
Produto B,R$ 1200,Cartão de Crédito,9,28/07/2018,Tonny Pereira,tonnypereira@outlook.com,62,971794979
Produto B,R$ 750,Pix,2,18/08/2018,Tonny Silva,tonnysilva@hotmail.com,81,998446518
Produto B,R$ 750,Pix,4,01/10/2018,Elaine Costa,elainecosta@hotmail.com,65,926484414
Produto C,R$ 1200,Boleto Bancário,2,09/10/2018,Bianca Souza,biancasouza@hotmail.com,58,912361875
Produto A,R$ 1200,Pix,8,28/01/2018,Mariana Costa,marianacosta@outlook.com,44,943038698
Produto A,R$ 1000,Cartão de Crédito,10,16/08/2018,Alefy Martins,alefymartins@gmail.com,84,986777722
Produto B,R$ 500,Pix,2,19/08/2018,Samuel Pereira,samuelpereira@yahoo.com,96,958909223
Produto A,R$ 1000,Pix,5,30/11/2018,Presley Silva,presleysilva@gmail.com,28,962101695
Produto A,R$ 1200,Boleto Bancário,12,26/05/2018,Jonatas Santos,jonatassantos@gmail.com,22,920016384
Produto B,R$ 750,Boleto Bancário,10,28/05/2018,Pedro Oliveira,pedrooliveira@gmail.com,58,944878118
Produto A,R$ 750,Boleto Bancário,9,22/05/2018,Pedro Santos,pedrosantos@hotmail.com,87,959208409
Produto A,R$ 1200,Boleto Bancário,11,17/07/2018,Tércio Santos,térciosantos@hotmail.com,85,997066684
Produto B,R$ 1200,Cartão de Crédito,4,09/01/2018,Jhonn Souza,jhonnsouza@hotmail.com,65,933840073
Produto B,R$ 750,Cartão de Crédito,9,27/02/2018,Jonatas Pereira,jonataspereira@outlook.com,46,989349903
Produto B,R$ 1200,Boleto Bancário,9,02/02/2018,Samuel Costa,samuelcosta@outlook.com,51,909732369
Produto A,R$ 500,Cartão de Crédito,3,09/09/2018,Alefy Martins,alefymartins@hotmail.com,56,940859051
Produto B,R$ 1200,Pix,7,13/06/2018,Jhonn Silva,jhonnsilva@outlook.com,80,924895814
Produto A,R$ 1200,Cartão de Crédito,7,30/07/2018,Samuel Pereira,samuelpereira@hotmail.com,81,914437996
Produto C,R$ 1000,Boleto Bancário,8,10/03/2018,Tamires Santos,tamiressantos@hotmail.com,12,959888206
Produto B,R$ 1000,Cartão de Crédito,3,09/12/2018,Pedro Souza,pedrosouza@gmail.com,58,998041924
Produto A,R$ 500,Boleto Bancário,2,22/06/2018,Tércio Silva,térciosilva@gmail.com,78,919032029
Produto C,R$ 750,Pix,7,26/07/2018,Pedro Pereira,pedropereira@hotmail.com,24,990036102
Produto C,R$ 500,Cartão de Crédito,5,17/02/2018,Samuel Almeida,samuelalmeida@gmail.com,27,939933301
Produto B,R$ 1000,Cartão de Crédito,7,02/12/2018,Pedro Oliveira,pedrooliveira@yahoo.com,34,900002381
Produto B,R$ 500,Boleto Bancário,5,20/05/2018,Jhonn Pereira,jhonnpereira@gmail.com,40,945033727
Produto A,R$ 750,Cartão de Crédito,12,25/12/2018,Elaine Souza,elainesouza@yahoo.com,51,948966300
Produto C,R$ 1200,Pix,7,31/08/2018,Tamires Santos,tamiressantos@yahoo.com,87,969164252
Produto C,R$ 500,Pix,1,19/02/2018,Samuel Martins,samuelmartins@outlook.com,69,962433953
Produto A,R$ 750,Boleto Bancário,3,31/05/2018,Pedro Martins,pedromartins@outlook.com,66,923574671
Produto C,R$ 750,Pix,8,21/01/2018,Lucas Silva,lucassilva@yahoo.com,53,973367030
Produto A,R$ 500,Boleto Bancário,9,30/11/2018,Lucas Santos,lucassantos@gmail.com,33,931801317
Produto A,R$ 1000,Cartão de Crédito,1,10/09/2018,Tamires Santos,tamiressantos@hotmail.com,18,965391563
Produto A,R$ 1200,Cartão de Crédito,1,15/10/2018,Tonny Martins,tonnymartins@hotmail.com,45,931672264
Produto B,R$ 1000,Boleto Bancário,1,24/12/2018,Pedro Santos,pedrosantos@outlook.com,21,971680629
Produto A,R$ 500,Boleto Bancário,10,12/06/2018,Danubia Pereira,danubiapereira@hotmail.com,22,914629393
Produto B,R$ 500,Pix,11,14/12/2018,Elaine Pereira,elainepereira@outlook.com,96,998594836
Produto A,R$ 750,Boleto Bancário,8,10/04/2018,Lucas Costa,lucascosta@gmail.com,32,996143398
Produto B,R$ 1000,Cartão de Crédito,11,14/05/2018,Samuel Souza,samuelsouza@yahoo.com,73,958835641
Produto B,R$ 500,Pix,7,06/01/2018,Paula Santos,paulasantos@outlook.com,40,932378605
Produto A,R$ 500,Pix,10,12/02/2018,Tércio Silva,térciosilva@yahoo.com,67,938616094
Produto B,R$ 500,Cartão de Crédito,9,25/03/2018,Tonny Martins,tonnymartins@outlook.com,65,968915083
Produto A,R$ 500,Boleto Bancário,11,21/10/2018,Danubia Almeida,danubiaalmeida@hotmail.com,18,986160293
Produto C,R$ 750,Cartão de Crédito,9,27/05/2018,Samuel Costa,samuelcosta@outlook.com,69,907932988
Produto C,R$ 1000,Cartão de Crédito,10,18/07/2018,Presley Pereira,presleypereira@yahoo.com,51,933053231
Produto A,R$ 1000,Cartão de Crédito,8,09/07/2018,Pedro Santos,pedrosantos@outlook.com,81,962069076
Produto C,R$ 500,Boleto Bancário,9,10/07/2018,Tamires Santos,tamiressantos@outlook.com,55,993609369
Produto B,R$ 1200,Pix,4,11/06/2018,Jhonn Almeida,jhonnalmeida@outlook.com,53,935107047
Produto B,R$ 750,Pix,3,19/11/2018,Samuel Silva,samuelsilva@hotmail.com,22,993398453
Produto C,R$ 500,Pix,10,14/12/2018,Tércio Martins,térciomartins@gmail.com,67,967072338
Produto A,R$ 1200,Boleto Bancário,8,28/12/2018,Tamires Martins,tamiresmartins@outlook.com,80,965143993
Produto C,R$ 1200,Boleto Bancário,5,27/04/2018,Tonny Silva,tonnysilva@outlook.com,26,963519930
Produto A,R$ 1200,Pix,1,19/04/2018,Samuel Almeida,samuelalmeida@gmail.com,50,938355903
Produto C,R$ 1000,Boleto Bancário,3,23/05/2018,Samuel Silva,samuelsilva@hotmail.com,86,986769571
Produto A,R$ 500,Boleto Bancário,5,01/02/2018,Tonny Martins,tonnymartins@gmail.com,55,972543700
Produto C,R$ 1000,Boleto Bancário,9,17/06/2018,Alefy Oliveira,alefyoliveira@outlook.com,11,971508547
Produto C,R$ 1000,Cartão de Crédito,4,01/11/2018,Samuel Souza,samuelsouza@outlook.com,64,930567651
Produto B,R$ 750,Cartão de Crédito,3,08/01/2018,Tamires Pereira,tamirespereira@yahoo.com,26,978274688
Produto A,R$ 1200,Cartão de Crédito,9,05/07/2018,Lucas Pereira,lucaspereira@yahoo.com,35,975029135
Produto B,R$ 1000,Boleto Bancário,7,22/01/2018,Mariana Pereira,marianapereira@gmail.com,80,986594765
Produto C,R$ 1000,Pix,10,04/10/2018,Tamires Pereira,tamirespereira@yahoo.com,76,936628782
Produto A,R$ 1200,Boleto Bancário,1,31/03/2018,Tamires Oliveira,tamiresoliveira@gmail.com,31,965757871
Produto A,R$ 1200,Boleto Bancário,5,03/06/2018,Lucas Almeida,lucasalmeida@gmail.com,90,964265010
Produto B,R$ 1000,Boleto Bancário,1,21/10/2018,Jhonn Souza,jhonnsouza@yahoo.com,78,990999092
Produto C,R$ 500,Cartão de Crédito,8,01/10/2018,Jhonn Santos,jhonnsantos@yahoo.com,91,927105678
Produto C,R$ 1200,Boleto Bancário,7,18/04/2018,Rafael Santos,rafaelsantos@hotmail.com,70,921434522
Produto A,R$ 500,Pix,6,04/06/2018,Elaine Souza,elainesouza@gmail.com,24,902349872
Produto A,R$ 750,Boleto Bancário,5,30/05/2018,Tamires Oliveira,tamiresoliveira@outlook.com,81,951289660
Produto C,R$ 500,Cartão de Crédito,10,29/05/2018,Bianca Martins,biancamartins@outlook.com,85,986111260
Produto B,R$ 500,Pix,7,10/01/2018,Tércio Santos,térciosantos@hotmail.com,96,904496734
Produto A,R$ 500,Pix,8,05/06/2018,Presley Costa,presleycosta@gmail.com,47,989454774
Produto C,R$ 1000,Pix,12,12/03/2018,Bianca Santos,biancasantos@yahoo.com,33,996472137
Produto B,R$ 500,Cartão de Crédito,7,05/02/2018,Samuel Costa,samuelcosta@gmail.com,35,904062828
Produto C,R$ 750,Cartão de Crédito,5,12/08/2018,Jhonn Souza,jhonnsouza@gmail.com,62,975600919
Produto B,R$ 1200,Cartão de Crédito,6,17/10/2018,Alefy Almeida,alefyalmeida@gmail.com,46,916399927
Produto C,R$ 1200,Cartão de Crédito,1,18/12/2018,Presley Almeida,presleyalmeida@hotmail.com,54,971253014
Produto B,R$ 1000,Boleto Bancário,5,12/11/2018,Tonny Martins,tonnymartins@gmail.com,48,988241282
Produto C,R$ 750,Cartão de Crédito,3,11/04/2018,Tércio Costa,térciocosta@outlook.com,35,925545495
Produto C,R$ 500,Pix,12,19/10/2018,Tamires Almeida,tamiresalmeida@yahoo.com,51,960288156
Produto B,R$ 750,Boleto Bancário,2,11/01/2018,Danubia Costa,danubiacosta@yahoo.com,65,999510680
Produto C,R$ 1000,Cartão de Crédito,8,18/12/2018,Pedro Silva,pedrosilva@outlook.com,18,918958577
Produto B,R$ 750,Cartão de Crédito,5,09/11/2018,Alefy Pereira,alefypereira@outlook.com,85,925150742
Produto C,R$ 500,Boleto Bancário,11,09/04/2018,Danubia Costa,danubiacosta@outlook.com,45,905011395
Produto A,R$ 500,Cartão de Crédito,1,21/10/2018,Bianca Oliveira,biancaoliveira@yahoo.com,26,978464737
Produto C,R$ 1000,Pix,9,24/04/2018,Samuel Silva,samuelsilva@outlook.com,48,937706710
Produto A,R$ 1000,Boleto Bancário,9,21/04/2018,Tamires Pereira,tamirespereira@outlook.com,88,911152953
Produto B,R$ 1000,Cartão de Crédito,12,02/01/2018,Jonatas Martins,jonatasmartins@gmail.com,42,906799251
Produto A,R$ 1200,Cartão de Crédito,9,05/10/2018,Jhonn Oliveira,jhonnoliveira@outlook.com,59,925485044
Produto C,R$ 500,Cartão de Crédito,6,12/03/2018,Samuel Pereira,samuelpereira@gmail.com,63,979645922
Produto B,R$ 500,Boleto Bancário,3,23/05/2018,Jonatas Martins,jonatasmartins@hotmail.com,51,930515187
Produto A,R$ 750,Cartão de Crédito,1,07/06/2018,Bianca Santos,biancasantos@gmail.com,37,946660454
Produto B,R$ 1000,Boleto Bancário,1,10/02/2018,Lucas Martins,lucasmartins@hotmail.com,27,908406119
Produto C,R$ 500,Cartão de Crédito,8,15/05/2018,Danubia Santos,danubiasantos@outlook.com,38,957152654
Produto A,R$ 750,Cartão de Crédito,12,18/03/2018,Elaine Silva,elainesilva@gmail.com,37,906615877
Produto B,R$ 1000,Boleto Bancário,4,03/11/2018,Jhonn Martins,jhonnmartins@gmail.com,11,940447023
Produto A,R$ 500,Pix,4,15/09/2018,Rafael Santos,rafaelsantos@hotmail.com,36,979173896
Produto B,R$ 1000,Cartão de Crédito,4,11/02/2018,Tamires Pereira,tamirespereira@outlook.com,93,980751009
Produto C,R$ 750,Boleto Bancário,9,22/07/2018,Samuel Santos,samuelsantos@outlook.com,51,906884021
Produto A,R$ 500,Boleto Bancário,7,10/05/2018,Elaine Souza,elainesouza@yahoo.com,45,992996977
Produto C,R$ 500,Cartão de Crédito,7,27/08/2018,Tamires Santos,tamiressantos@outlook.com,31,985170503
Produto C,R$ 1200,Cartão de Crédito,10,24/01/2018,Lucas Almeida,lucasalmeida@outlook.com,49,922859696
Produto C,R$ 1200,Boleto Bancário,6,20/03/2018,Pedro Santos,pedrosantos@gmail.com,99,911034847
Produto B,R$ 750,Pix,4,15/06/2018,Danubia Oliveira,danubiaoliveira@yahoo.com,54,908916314
Produto A,R$ 500,Pix,1,06/02/2018,Presley Almeida,presleyalmeida@yahoo.com,44,973825807
Produto B,R$ 1000,Cartão de Crédito,1,09/07/2018,Tonny Oliveira,tonnyoliveira@yahoo.com,20,981632420
Produto C,R$ 750,Pix,2,09/03/2018,Tércio Oliveira,térciooliveira@hotmail.com,63,934160692
Produto A,R$ 750,Boleto Bancário,9,17/03/2018,Paula Martins,paulamartins@hotmail.com,40,923298688
Produto B,R$ 750,Pix,10,22/01/2018,Elaine Almeida,elainealmeida@outlook.com,14,948547347
Produto A,R$ 750,Pix,3,24/12/2018,Tonny Costa,tonnycosta@yahoo.com,27,968068198
Produto B,R$ 750,Boleto Bancário,7,22/07/2018,Danubia Silva,danubiasilva@outlook.com,84,995178539
Produto B,R$ 1200,Boleto Bancário,12,21/12/2018,Rafael Santos,rafaelsantos@gmail.com,66,988365059
Produto B,R$ 1200,Boleto Bancário,11,01/05/2018,Elaine Santos,elainesantos@gmail.com,42,917112628
Produto C,R$ 1200,Cartão de Crédito,1,31/07/2018,Bianca Souza,biancasouza@gmail.com,58,930532611
Produto C,R$ 500,Pix,6,12/02/2018,Jhonn Martins,jhonnmartins@outlook.com,26,974232126
Produto A,R$ 750,Boleto Bancário,8,03/12/2018,Tércio Martins,térciomartins@hotmail.com,34,953132408
Produto B,R$ 1000,Cartão de Crédito,3,15/09/2018,Lucas Almeida,lucasalmeida@gmail.com,56,945307180
Produto A,R$ 1000,Cartão de Crédito,6,07/05/2018,Jonatas Santos,jonatassantos@outlook.com,49,917877779
Produto B,R$ 1000,Boleto Bancário,2,09/08/2018,Danubia Oliveira,danubiaoliveira@yahoo.com,16,981130661
Produto C,R$ 1200,Boleto Bancário,11,16/05/2018,Alefy Almeida,alefyalmeida@hotmail.com,12,930841351
Produto C,R$ 750,Cartão de Crédito,7,20/10/2018,Jonatas Oliveira,jonatasoliveira@gmail.com,80,934817092
Produto B,R$ 1200,Boleto Bancário,2,12/09/2018,Mariana Pereira,marianapereira@hotmail.com,53,923326736
Produto C,R$ 1000,Cartão de Crédito,3,22/07/2018,Presley Souza,presleysouza@yahoo.com,40,933877427
Produto A,R$ 500,Cartão de Crédito,4,28/06/2018,Pedro Oliveira,pedrooliveira@outlook.com,64,941731408
Produto C,R$ 500,Cartão de Crédito,7,05/12/2018,Jonatas Almeida,jonatasalmeida@gmail.com,18,928027494
Produto C,R$ 1000,Cartão de Crédito,9,14/09/2018,Tércio Costa,térciocosta@yahoo.com,46,901710454
Produto C,R$ 1000,Pix,8,29/05/2018,Tércio Almeida,tércioalmeida@hotmail.com,17,944523736
Produto B,R$ 1200,Boleto Bancário,4,15/08/2018,Alefy Souza,alefysouza@hotmail.com,74,910324596
Produto A,R$ 500,Boleto Bancário,6,30/03/2018,Lucas Martins,lucasmartins@yahoo.com,79,922571527
Produto C,R$ 1000,Cartão de Crédito,11,24/01/2018,Alefy Almeida,alefyalmeida@hotmail.com,72,954328820
Produto B,R$ 500,Cartão de Crédito,6,08/10/2018,Tonny Martins,tonnymartins@outlook.com,54,958905667
Produto B,R$ 500,Boleto Bancário,6,11/11/2018,Bianca Oliveira,biancaoliveira@gmail.com,71,966664725
Produto A,R$ 750,Pix,11,05/03/2018,Rafael Silva,rafaelsilva@gmail.com,86,920591135
Produto A,R$ 750,Boleto Bancário,8,27/07/2018,Tamires Almeida,tamiresalmeida@hotmail.com,14,952231867
Produto A,R$ 1200,Pix,10,11/07/2018,Presley Costa,presleycosta@outlook.com,94,955098974
Produto A,R$ 1200,Cartão de Crédito,9,19/07/2018,Paula Oliveira,paulaoliveira@yahoo.com,92,978135583
Produto B,R$ 750,Cartão de Crédito,1,04/06/2018,Lucas Costa,lucascosta@yahoo.com,78,943995470
Produto C,R$ 500,Pix,8,28/05/2018,Tonny Pereira,tonnypereira@yahoo.com,30,945222165
Produto B,R$ 1200,Boleto Bancário,5,27/02/2018,Tonny Almeida,tonnyalmeida@outlook.com,40,913619577
Produto C,R$ 500,Pix,8,21/05/2018,Pedro Martins,pedromartins@gmail.com,69,981305106
Produto C,R$ 500,Boleto Bancário,12,31/07/2018,Elaine Pereira,elainepereira@hotmail.com,81,947817382
